# line workload mrep throughput
1 Load_A skip_list 3115.264797507788
2 Load_A cuckoo 3649.6350364963505
3 Load_A prefix_hash 3257.328990228013
4 Load_A hash_linkedlist 3267.97385620915
6 A skip_list 5813.953488372093
7 A cuckoo 66.608938919603
8 A prefix_hash 5988.023952095808
9 A hash_linkedlist 6060.606060606061
11 B skip_list 6493.506493506494
12 B cuckoo 34.69090404495941
13 B prefix_hash 6451.612903225807
14 B hash_linkedlist 6666.666666666667
16 C skip_list 6535.9477124183
17 C cuckoo 32.87851389117212
18 C prefix_hash 6535.9477124183
19 C hash_linkedlist 6578.9473684210525
21 D skip_list 6134.9693251533745
22 D cuckoo 33.362247280976845
23 D prefix_hash 5952.380952380952
24 D hash_linkedlist 6060.606060606061
26 Load_E skip_list 181.8181818181818
27 Load_E cuckoo 172.41379310344828
28 Load_E prefix_hash 172.41379310344828
29 Load_E hash_linkedlist 175.43859649122808
31 E skip_list 188.67924528301887
32 E cuckoo 140.8450704225352
33 E prefix_hash 185.1851851851852
34 E hash_linkedlist 188.67924528301887
36 F skip_list 4545.454545454545
37 F cuckoo 30.834695199037956
38 F prefix_hash 4761.9047619047615
39 F hash_linkedlist 4587.155963302752
